season,matchid,team,match_location,final_points_a,outcome,carries_a,metres_made_a,defenders_beaten_a,clean_breaks_a,offloads_a,passes_a,turnovers_conceded_a,turnovers_won_a,kicks_from_hand_a,kick_metres_a,scrums_won_a,rucks_won_a,lineout_throws_lost_a,lineout_throws_won_a,tackles_a,missed_tackles_a,penalties_conceded_a,scrum_pens_conceded_a,lineout_pens_conceded_a,general_play_pens_conceded_a,free_kicks_conceded_a,ruck_maul_tackle_pen_con_a,red_cards_a
21/22,268163,DHL Stormers,away,17,loss,71,270,6,2,1,90,14,7,27,762,7,1,3,8,189,20,10,4,0,3,2,3,0
21/22,268163,Connacht Rugby,home,19,win,152,406,20,5,13,199,12,3,19,815,7,7,3,12,94,6,4,2,0,0,0,0,0
21/22,268164,Ospreys,away,19,loss,74,261,11,3,7,106,12,8,20,631,3,6,0,6,163,23,13,4,0,1,2,2,0
21/22,268164,Glasgow Warriors,home,38,win,140,538,23,7,9,173,11,8,21,562,7,6,0,16,81,11,9,2,0,1,1,2,0
21/22,268165,Ulster Rugby,away,13,loss,97,187,9,0,1,118,9,7,23,654,5,8,3,17,224,14,9,0,0,4,0,3,0
21/22,268165,Munster Rugby,home,18,win,148,304,14,1,7,140,15,7,28,812,4,3,0,9,121,9,12,3,0,3,2,5,1
21/22,268166,Scarlets,home,27,loss,123,363,5,7,7,136,18,8,24,1171,3,6,4,15,149,25,8,0,1,2,1,3,0
21/22,268166,Dragons RFC,away,38,win,129,404,25,9,6,159,7,5,30,1145,10,7,0,8,150,5,16,1,2,3,0,2,0
21/22,268167,Glasgow Warriors,away,42,win,127,409,15,6,9,172,6,9,29,1349,5,2,2,10,173,7,10,0,0,2,0,4,0
21/22,268167,Connacht Rugby,home,20,loss,125,312,8,3,6,135,9,4,22,863,4,5,5,5,141,15,12,1,0,4,1,3,0
21/22,268168,Ulster Rugby,home,27,win,160,354,17,5,10,211,12,9,21,549,5,5,1,10,149,13,6,1,1,2,0,1,0
21/22,268168,Scarlets,away,15,loss,129,310,13,5,10,156,13,6,14,360,6,7,0,7,211,17,12,0,0,3,0,3,0
21/22,268169,Cardiff Rugby,home,29,win,137,332,20,5,16,172,12,8,30,817,3,6,0,10,150,22,12,3,0,3,0,4,0
21/22,268169,Leinster Rugby,away,27,loss,122,262,22,2,7,138,9,5,17,536,2,7,0,14,164,20,12,2,0,2,0,2,0
21/22,268171,Ospreys,home,23,win,64,214,10,3,5,73,12,10,24,910,6,5,0,12,154,16,9,3,0,1,1,1,0
21/22,268171,Edinburgh Rugby,away,19,loss,118,392,16,3,6,126,13,7,26,714,7,7,0,14,64,10,13,3,0,4,1,2,0
21/22,268172,Vodacom Bulls,home,21,win,109,348,20,3,11,142,19,10,20,838,7,7,2,19,56,7,13,6,0,2,0,0,0
21/22,268172,Emirates Lions,away,13,loss,53,210,7,1,3,47,18,8,24,914,7,8,3,10,124,20,17,3,0,4,0,6,0
21/22,268173,DHL Stormers,home,20,win,101,318,19,8,9,127,18,7,26,895,3,4,2,14,79,11,9,4,0,1,1,1,0
21/22,268173,Hollywoodbets Sharks,away,10,loss,74,275,11,3,7,103,11,2,25,816,8,7,2,9,92,19,11,1,0,5,0,2,0
21/22,268174,Zebre Parma,home,17,loss,96,195,16,4,5,107,10,4,19,547,8,3,2,11,106,20,10,3,0,3,1,1,0
21/22,268174,Munster Rugby,away,34,win,92,319,20,4,10,115,9,5,19,743,5,5,1,13,125,16,11,3,0,1,0,1,0
21/22,268175,Emirates Lions,home,37,loss,106,338,12,8,7,103,19,8,18,640,3,7,3,8,64,16,7,2,0,1,0,2,0
21/22,268175,Hollywoodbets Sharks,away,47,win,88,330,16,9,17,106,13,10,25,943,7,6,0,9,105,12,12,1,0,5,0,3,0
21/22,268176,Vodacom Bulls,away,17,loss,110,384,21,5,12,103,21,4,28,940,7,9,2,15,87,25,8,2,0,2,1,0,0
21/22,268176,DHL Stormers,home,19,win,86,364,25,7,12,122,10,10,34,1077,8,7,3,9,134,21,8,1,0,3,0,2,0
21/22,268177,Vodacom Bulls,home,22,loss,133,432,22,7,20,147,17,8,10,384,3,5,2,10,47,15,12,2,0,4,0,1,1
21/22,268177,Hollywoodbets Sharks,away,29,win,54,239,15,2,5,71,8,8,20,753,7,9,3,16,140,22,14,0,0,5,0,2,1
21/22,268178,Emirates Lions,away,37,win,95,527,17,10,16,116,15,8,16,589,9,5,2,4,188,24,14,1,0,6,0,4,0
21/22,268178,DHL Stormers,home,19,loss,158,530,24,6,20,187,26,8,19,641,3,5,1,14,77,17,10,3,0,3,0,1,0
21/22,268179,Leinster Rugby,home,29,win,155,562,12,3,13,157,15,3,24,1045,5,5,0,17,111,13,13,3,1,3,1,1,0
21/22,268179,Ospreys,away,7,loss,87,270,13,2,5,129,13,6,20,1109,4,3,4,13,175,12,14,5,1,3,2,4,0
21/22,268180,Edinburgh Rugby,away,20,loss,129,311,19,3,4,161,14,5,19,915,5,6,2,14,74,12,11,1,0,1,0,4,0
21/22,268180,Munster Rugby,home,34,win,77,258,12,4,7,98,11,9,19,998,5,2,1,10,183,19,14,1,0,5,0,3,0
21/22,268181,Zebre Parma,away,14,loss,126,341,24,3,9,167,20,8,24,607,8,7,0,14,164,25,7,3,0,2,1,2,0
21/22,268181,Cardiff Rugby,home,42,win,134,421,25,9,8,147,17,10,29,609,8,8,1,9,162,24,6,3,0,1,1,0,0
21/22,268182,Dragons RFC,home,0,loss,121,220,10,0,5,161,15,9,33,1064,8,6,5,9,126,10,16,5,0,1,1,3,0
21/22,268182,Ulster Rugby,away,12,win,95,270,10,1,7,89,11,6,28,1199,9,8,10,9,140,10,7,1,0,0,1,0,0
21/22,268183,Connacht Rugby,away,29,win,102,367,11,2,7,118,11,3,28,1190,9,10,2,11,166,6,15,1,0,4,0,2,1
21/22,268183,Scarlets,home,23,loss,115,354,6,2,6,131,10,6,30,1167,4,4,3,15,114,11,10,1,3,2,0,0,0
21/22,268184,Emirates Lions,home,10,loss,96,424,9,5,12,114,20,8,24,833,6,6,4,6,83,24,8,0,0,3,0,2,0
21/22,268184,DHL Stormers,away,32,win,98,473,24,9,18,146,14,9,32,1079,4,5,1,17,101,9,7,1,1,1,1,1,0
21/22,268185,Vodacom Bulls,away,16,loss,67,245,6,5,6,109,20,7,20,678,4,6,2,13,69,9,15,6,0,3,0,3,0
21/22,268185,Hollywoodbets Sharks,home,30,win,69,350,9,6,3,79,16,6,24,937,8,9,2,10,63,6,11,0,2,0,1,3,0
21/22,268186,Benetton Rugby,away,3,loss,94,299,10,0,6,117,18,9,30,1048,4,5,2,16,181,22,11,4,0,3,1,1,0
21/22,268186,Glasgow Warriors,home,13,win,143,315,22,2,9,178,18,7,41,1607,11,3,1,12,117,10,7,2,2,1,4,1,0
21/22,268187,Munster Rugby,home,64,win,157,760,38,16,16,235,13,6,23,853,3,4,1,17,90,7,9,0,1,0,0,2,0
21/22,268187,Dragons RFC,away,3,loss,73,186,7,2,3,99,11,8,19,708,7,7,5,8,166,38,9,1,0,1,0,5,0
21/22,268188,Ulster Rugby,home,48,win,123,481,18,8,10,169,14,9,25,775,5,1,0,15,126,10,9,3,0,2,2,0,0
21/22,268188,Cardiff Rugby,away,12,loss,118,325,10,4,12,152,17,4,18,597,9,4,4,7,148,18,7,1,0,2,0,1,0
21/22,268189,Glasgow Warriors,away,10,loss,127,359,18,1,10,164,15,6,23,945,3,9,2,13,149,16,8,1,2,2,1,0,0
