kpi,n,acc_abs,acc_rel,acc_improvement,auc_abs,auc_rel,auc_improvement,sport,kappa,rho,eta,quadrant,tau,abs_tau,psi,cos_sigma,sigma,sphere_x,sphere_y,sphere_z,eta_from_sigma,eta_sigma_residual,delta_ml_pred,residual
op_xg,1114,0.646319569120287,0.694793536804309,7.5,0.689975392547457,0.739834778532927,7.22625567868212,football,0.803931692872611,-0.120970871334064,0.892654533928953,Q3,-0.109120486263034,0.109120486263034,-0.723550784160673,-0.120254210325437,1.69134227380268,-0.120254210325437,0.986775320295877,-0.108689429817138,0.892654533928953,-1.11022302462516e-16,-0.0240932876919701,9.90932876919702
op_shots,1114,0.576301615798923,0.574506283662478,-0.311526479750776,0.592115199333385,0.600988204046559,1.49852676019174,football,0.826008186732029,-0.181391603839541,0.84705113434666,Q3,-0.0955752971062097,0.0955752971062097,-0.907388399643481,-0.180566272154645,1.75235848327465,-0.180566272154645,0.978936425461709,-0.0952853412882888,0.84705113434666,0,-0.0337080259229683,3.05927611254605
goals_from_counters,1114,0.604129263913824,0.608617594254937,0.742942050520053,0.528396219045387,0.581054865505299,9.96575004928051,football,0.892340192011525,-0.0375796156100951,0.963838004357953,Q3,-0.0569539189653023,0.0569539189653023,-0.392352074081324,-0.0375187484603655,1.60832388308729,-0.0375187484603655,0.997675095590271,-0.0568924173586541,0.963838004357953,1.11022302462516e-16,-0.00834552257657436,1.57749430817749
xg_from_counters,1114,0.587971274685817,0.616696588868941,4.8854961832061,0.581617972554228,0.643722495638362,10.6778892700644,football,0.82408055792228,-0.0245217472442266,0.976174089661428,Q3,-0.0967434946912564,0.0967434946912564,-0.315037597940795,-0.024407439811106,1.5952061906019,-0.0244074398111059,0.995039226670478,-0.0964428030953308,0.976174089661427,1.11022302462516e-16,-0.00552474003291785,5.43797018649789
passes,1114,0.542190305206463,0.53770197486535,-0.827814569536417,0.468527849386767,0.507639377131995,8.34774876166262,football,0.842536695061463,-0.14289920552267,0.875368206324748,Q3,-0.0856690313675075,0.0856690313675075,-0.793880783275955,-0.142376422601091,1.71365821075889,-0.142376422601091,0.986116388490958,-0.085460064573251,0.875368206324748,1.11022302462516e-16,-0.0277813952444796,1.95032495491155
successful_passes,1114,0.544883303411131,0.535008976660682,-1.81219110378913,0.42686443767414,0.473895268598807,11.0177439893856,football,0.818623943492114,-0.526309957953207,0.65630323491256,Q3,-0.10006523301655,0.10006523301655,-1.83057939515075,-0.5236859226105,2.1219682025403,-0.523685922610499,0.846053465865234,-0.0997325792156948,0.65630323491256,1.11022302462516e-16,-0.0699116985269511,5.17897874890598
op_passes,1114,0.545780969479354,0.536804308797127,-1.64473684210527,0.450859958857381,0.480997578314194,6.68447460563838,football,0.821726846811142,-0.602315856563399,0.625224733416656,Q3,-0.0981736211501729,0.0981736211501729,-2.06158179544215,-0.599424889247926,2.21357874078204,-0.599424889247926,0.794426418152325,-0.0978594312868134,0.625224733416656,0,-0.0751967838411096,5.87494154200569
successful_op_passes,1114,0.543985637342908,0.545780969479354,0.330033003300348,0.413454027029138,0.453900085930787,9.78248033820645,football,0.801190581333179,-0.499702816104937,0.668159090833742,Q3,-0.110828215479774,0.110828215479774,-1.75328641087008,-0.4966495460717,2.0905306329246,-0.496649546071699,0.86090430308725,-0.110376670146514,0.668159090833742,0,-0.0678502361242346,7.11505661572381
passes_inside_box,1114,0.549371633752244,0.552064631956912,0.490196078431368,0.45082740931698,0.522849777361144,15.9755965488611,football,0.738941726032663,-0.205409750485365,0.831198639952848,Q3,-0.151268108154355,0.151268108154355,-0.971021310468097,-0.203081853041444,1.77530066627451,-0.203081853041444,0.967584779866969,-0.150124797202338,0.831198639952848,0,-0.0369635612263482,4.18655220106619
successful_passes_inside_box,1114,0.548473967684022,0.568222621184919,3.60065466448444,0.558029320625993,0.591695310262219,6.03301446570229,football,0.753750592181336,-0.106225415721332,0.904835678713602,Q3,-0.141346872647085,0.141346872647085,-0.672898902173314,-0.105173042492856,1.6761642337849,-0.105173042492856,0.984491145929441,-0.140413014779015,0.904835678713602,0,-0.0214624451049319,5.74689917497763
passes_into_box,1114,0.58886894075404,0.572710951526032,-2.74390243902439,0.614753404681926,0.590217561128037,-3.99116838833675,football,0.765788105543616,-0.486737225712749,0.674565088756621,Q3,-0.133424886062941,0.133424886062941,-1.71348913251846,-0.482436634607389,2.07423068091428,-0.482436634607389,0.865830156837278,-0.132638731522251,0.674565088756621,0,-0.0667259677813679,3.9286943391124
successful_passes_into_box,1114,0.549371633752244,0.549371633752244,0,0.473328906595839,0.442410098169414,-6.5322037161837,football,0.755151442552558,-0.353083507048956,0.740943297156783,Q3,-0.140418481842749,0.140418481842749,-1.35931283369744,-0.349630941851142,1.92797348208972,-0.349630941851142,0.926443290560122,-0.1395028095646,0.740943297156783,1.11022302462516e-16,-0.0546464450646808,5.46464450646808
op_passes_into_box,1114,0.5754039497307,0.557450628366248,-3.12012480499221,0.593140509856001,0.573262505533422,-3.35131456919115,football,0.698761842107474,-0.47438395283786,0.681725613357175,Q3,-0.179222653548273,0.179222653548273,-1.67046569084744,-0.466865818749973,2.0565396372673,-0.466865818749973,0.866366587001718,-0.177328069436038,0.681725613357175,0,-0.0654606323922559,3.42593843423338
successful_op_passes_into_box,1114,0.549371633752244,0.544883303411131,-0.81699346405228,0.454450173163555,0.480187094758222,5.66330988840981,football,0.711819837346336,-0.319704392069668,0.760374458592016,Q3,-0.169965218512228,0.169965218512228,-1.26967625171103,-0.315141492063921,1.89140206609034,-0.315141492063921,0.933994134505545,-0.168347250316015,0.760374458592016,0,-0.0509619610810071,4.27920264404843
passes_into_final_third,1114,0.553859964093357,0.561041292639138,1.29659643435981,0.544625419889071,0.541399760435383,-0.592271189682161,football,0.897547683244465,-0.239875211790144,0.806760444248755,Q3,-0.0540445155339024,0.0540445155339024,-1.07057695716484,-0.239525322701198,1.81267323893141,-0.239525322701198,0.969387687226262,-0.0539919590217414,0.806760444248755,-1.11022302462516e-16,-0.0418946602400738,5.48606245836719
successful_passes_into_final_third,1114,0.552064631956912,0.544883303411131,-1.30081300813007,0.533373043772622,0.525339817201781,-1.5061178409056,football,0.729286641410165,-0.532713372601124,0.655245582877065,Q3,-0.157844213081044,0.157844213081044,-1.8377246792316,-0.526145350891465,2.12485772589516,-0.526145350891465,0.835861434556669,-0.156546261393125,0.655245582877065,0,-0.0700943844835729,5.70862544022722
op_passes_into_final_third,1114,0.561041292639138,0.579892280071813,3.35999999999999,0.569909902872171,0.57579811473062,1.03318293449082,football,0.867338602612142,-0.460026019681861,0.685465019467908,Q3,-0.0711629166662216,0.0711629166662216,-1.6485676914218,-0.458863649637803,2.04751215825313,-0.458863649637803,0.885661921134326,-0.0710430326895633,0.685465019467908,1.11022302462516e-16,-0.0647962148404388,9.83962148404387
successful_op_passes_into_final_third,1114,0.53770197486535,0.550269299820467,2.33722871452421,0.537129260734838,0.534948441528006,-0.406013852950241,football,0.703492319580254,-0.531689882722062,0.656351540546359,Q3,-0.175849159964146,0.175849159964146,-1.83025408321645,-0.523573783597097,2.12183657561817,-0.523573783597097,0.834010825844847,-0.174058712805237,0.656351540546359,1.11022302462516e-16,-0.0699033500441993,9.32756371894414
passes_in_final_third,1114,0.546678635547576,0.540394973070018,-1.14942528735633,0.521339478686561,0.500901622269094,-3.92025872833523,football,0.650260200287995,-0.599436374892341,0.630588561737577,Q3,-0.215191344029501,0.215191344029501,-2.01819673988201,-0.585820074573689,2.19668790159055,-0.585820074573689,0.782240676132461,-0.211930094206338,0.630588561737577,0,-0.074296908399406,6.28026555258427
successful_passes_in_final_third,1114,0.549371633752244,0.549371633752244,0,0.453183996041976,0.441882795614926,-2.49373334578285,football,0.597936872253077,-0.524462862922913,0.663310455816057,Q3,-0.257135047699023,0.257135047699023,-1.78429695685987,-0.507589683279937,2.10318131165536,-0.507589683279937,0.824040750785042,-0.251613899602941,0.663310455816057,1.11022302462516e-16,-0.0686963267635542,6.86963267635542
passes_in_middle_third,1114,0.548473967684022,0.535008976660682,-2.45499181669394,0.47009673723407,0.512333020857745,8.9845940799723,football,0.845361714020616,-0.579067020332891,0.634103231036991,Q3,-0.0839953396442335,0.0839953396442335,-1.99065624670246,-0.577030286322046,2.1858841923642,-0.577030286322046,0.812412385098487,-0.0837983603997416,0.634103231036991,0,-0.0737044842845004,4.9154566117561
