sport,kpi,side,window_label,window_n_seasons,n,skewness,kurtosis,sw_W,sw_p,sw_reject,lill_KS,lill_p,lill_reject,verdict
football,shots,diff,2023/2024+2024/2025,2,1114,0.0654160071578848,2.91969884522593,0.997327015277157,0.0613388077055798,0,0.040784392150233,0.001,1,NotNormal
football,shots_inside_box,home,2023/2024+2024/2025,2,1114,0.600475031059015,3.46367546305013,0.972499498727581,1.05582209641852e-13,1,0.107581093471489,0,1,NotNormal
football,shots_inside_box,away,2023/2024+2024/2025,2,1114,0.608918119591918,3.41366612264819,0.968983981227382,1.0769163338864e-14,1,0.113919321607471,0,1,NotNormal
football,shots_inside_box,diff,2023/2024+2024/2025,2,1114,0.127045431607377,3.08177143734143,0.995483670314952,0.00219828067284766,1,0.0529979968501447,0,1,NotNormal
football,shots_outside_box,home,2023/2024+2024/2025,2,1114,0.666862744775966,3.37652375140411,0.958729344781514,0,1,0.129225032700841,0,1,NotNormal
football,shots_outside_box,away,2023/2024+2024/2025,2,1114,0.700988104037234,3.57616489552308,0.950706043138439,0,1,0.138259899126281,0,1,NotNormal
football,shots_outside_box,diff,2023/2024+2024/2025,2,1114,0.0906288819499067,3.2134964489837,0.991770256815535,7.10119786939689e-06,1,0.069334232205564,0,1,NotNormal
football,penalties,home,2023/2024+2024/2025,2,1114,2.9259125844199,10.612140658619,0.342149679961082,0,1,0.529431992458384,0,1,NotNormal
football,penalties,away,2023/2024+2024/2025,2,1114,3.86320679685621,17.8536257805402,0.267983985966473,0,1,0.536918349589334,0,1,NotNormal
football,penalties,diff,2023/2024+2024/2025,2,1114,0.221066932060174,7.969773950989,0.549610890231214,0,1,0.436848143956868,0,1,NotNormal
football,big_chances,home,2023/2024+2024/2025,2,1114,1.2582813084888,4.84543642522012,0.821625611125253,0,1,0.234282361192719,0,1,NotNormal
football,big_chances,away,2023/2024+2024/2025,2,1114,1.2557533453378,4.65172457921218,0.794543214646702,0,1,0.255077936842459,0,1,NotNormal
football,big_chances,diff,2023/2024+2024/2025,2,1114,0.157969950886076,3.85737834850788,0.956801554243416,0,1,0.164228283078475,0,1,NotNormal
football,corners,home,2023/2024+2024/2025,2,1114,0.632487560216648,3.50675052302696,0.966038234512009,1.77635683940025e-15,1,0.114005778756379,0,1,NotNormal
football,corners,away,2023/2024+2024/2025,2,1114,0.801570762951694,4.00098538999667,0.951204758929716,0,1,0.126709907751178,0,1,NotNormal
football,corners,diff,2023/2024+2024/2025,2,1114,0.075709866456515,3.17118810880938,0.994958836617576,0.000899187157122228,1,0.0572440959138669,0,1,NotNormal
football,free_kicks,home,2023/2024+2024/2025,2,1114,0.296606190142089,2.9519347897962,0.987283128799736,2.92864853479458e-08,1,0.0723136515456672,0,1,NotNormal
football,free_kicks,away,2023/2024+2024/2025,2,1114,0.24650285521711,3.10757273254411,0.989731006667049,5.0079709679185e-07,1,0.0761717286808927,0,1,NotNormal
football,free_kicks,diff,2023/2024+2024/2025,2,1114,0.0751050300898986,3.08948829757284,0.995446118739716,0.002060113919647,1,0.0509476023592199,0,1,NotNormal
football,set_pieces,home,2023/2024+2024/2025,2,1114,0.2538908647643,3.0515505915835,0.994230844214421,0.000272950675110795,1,0.0476087977635347,0,1,NotNormal
football,set_pieces,away,2023/2024+2024/2025,2,1114,0.270481184131506,3.14814250390143,0.994052395959691,0.000205491835194471,1,0.0452787940773682,0,1,NotNormal
football,set_pieces,diff,2023/2024+2024/2025,2,1114,0.015738012463743,3.05861869577446,0.99840126229934,0.395418652327194,0,0.0321166887500635,0.005,1,NotNormal
football,sp_goals,home,2023/2024+2024/2025,2,1114,1.78655222091325,5.83823209992408,0.558594056247885,0,1,0.461160417499266,0,1,NotNormal
football,sp_goals,away,2023/2024+2024/2025,2,1114,1.8951290079212,6.15263437240405,0.514824944287009,0,1,0.481612780271369,0,1,NotNormal
football,sp_goals,diff,2023/2024+2024/2025,2,1114,0.13396838407061,4.33701808374843,0.806846732467856,0,1,0.326042287594786,0,1,NotNormal
football,sp_xg,home,2023/2024+2024/2025,2,1114,1.70983573224874,6.39874070230133,0.837208024171899,0,1,0.148218485179716,0,1,NotNormal
football,sp_xg,away,2023/2024+2024/2025,2,1114,2.36653047742324,11.0742006675102,0.776605858724025,0,1,0.178207251416294,0,1,NotNormal
football,sp_xg,diff,2023/2024+2024/2025,2,1114,-0.212274229749348,5.73669033571916,0.95447492648452,0,1,0.0861549301147642,0,1,NotNormal
football,sp_shots,home,2023/2024+2024/2025,2,1114,0.870487655213739,3.68008785898922,0.935444081754165,0,1,0.145802037501246,0,1,NotNormal
football,sp_shots,away,2023/2024+2024/2025,2,1114,1.02245025402892,4.39101163044656,0.915730528654521,0,1,0.170643215534103,0,1,NotNormal
