sport,kpi,side,window_label,window_n_seasons,n,skewness,kurtosis,sw_W,sw_p,sw_reject,lill_KS,lill_p,lill_reject,verdict
football,successful_op_passes,away,2023/2024+2024/2025,2,1114,0.605108025188807,3.58640965014387,0.977044542595654,2.74780198594726e-12,1,0.0582794503801544,0,1,NotNormal
football,successful_op_passes,diff,2023/2024+2024/2025,2,1114,-0.065853788725469,2.94463975128792,0.997910334967387,0.175852606101471,0,0.0207718153496812,0.313664596273292,0,Normal
football,passes_inside_box,home,2023/2024+2024/2025,2,1114,1.23053010220238,5.85364676636595,0.925938370987612,0,1,0.122032273114208,0,1,NotNormal
football,passes_inside_box,away,2023/2024+2024/2025,2,1114,1.22683898168978,5.8011944227068,0.923598008269498,0,1,0.115098687426095,0,1,NotNormal
football,passes_inside_box,diff,2023/2024+2024/2025,2,1114,0.181602838366493,4.36947967911774,0.986091760951636,8.2186908390014e-09,1,0.0579983745688226,0,1,NotNormal
football,successful_passes_inside_box,home,2023/2024+2024/2025,2,1114,1.24700884625042,5.4358492442967,0.897126129863594,0,1,0.169123516149541,0,1,NotNormal
football,successful_passes_inside_box,away,2023/2024+2024/2025,2,1114,1.46860257170349,6.94868568584596,0.871067790978565,0,1,0.175905787772761,0,1,NotNormal
football,successful_passes_inside_box,diff,2023/2024+2024/2025,2,1114,0.103848797791366,4.27961540461211,0.979832195544602,2.51363374559332e-11,1,0.0837307348877302,0,1,NotNormal
football,passes_into_box,home,2023/2024+2024/2025,2,1114,0.628025695256375,3.56249577130119,0.976720933005869,2.14983586488415e-12,1,0.0696405807137917,0,1,NotNormal
football,passes_into_box,away,2023/2024+2024/2025,2,1114,0.507355185816538,3.22886243553202,0.982955921994391,3.83628906419631e-10,1,0.0650510787762144,0,1,NotNormal
football,passes_into_box,diff,2023/2024+2024/2025,2,1114,0.163211353210649,3.11173365195596,0.997260522799782,0.0542747361742166,0,0.0328193297995163,0.007,1,NotNormal
football,successful_passes_into_box,home,2023/2024+2024/2025,2,1114,0.818606422099142,4.18201588007787,0.960973085147267,1.11022302462516e-16,1,0.0930379327459225,0,1,NotNormal
football,successful_passes_into_box,away,2023/2024+2024/2025,2,1114,0.798544932574935,4.20932630067365,0.959520474559703,0,1,0.111659897088397,0,1,NotNormal
football,successful_passes_into_box,diff,2023/2024+2024/2025,2,1114,0.105701908537841,3.65365844828872,0.993690667258021,0.000116717503775177,1,0.0422614221226675,0,1,NotNormal
football,op_passes_into_box,home,2023/2024+2024/2025,2,1114,0.833736705444222,4.28885561689468,0.963265011418386,3.33066907387547e-16,1,0.0854385127627867,0,1,NotNormal
football,op_passes_into_box,away,2023/2024+2024/2025,2,1114,0.615825074587243,3.3756295289245,0.97535326657325,7.80486786311485e-13,1,0.0760172072220835,0,1,NotNormal
football,op_passes_into_box,diff,2023/2024+2024/2025,2,1114,0.246305318177592,3.4208880881294,0.994863125129105,0.00076630822078716,1,0.0342489144724138,0.005,1,NotNormal
football,successful_op_passes_into_box,home,2023/2024+2024/2025,2,1114,0.927662189499224,4.24803088496677,0.9484475278212,0,1,0.111480792382119,0,1,NotNormal
football,successful_op_passes_into_box,away,2023/2024+2024/2025,2,1114,0.988383607861143,4.94471115833452,0.943096059172058,0,1,0.117294528333566,0,1,NotNormal
football,successful_op_passes_into_box,diff,2023/2024+2024/2025,2,1114,0.0863268033092201,3.88834631246101,0.991620208279992,5.78201932754929e-06,1,0.0534041019139504,0,1,NotNormal
football,passes_into_final_third,home,2023/2024+2024/2025,2,1114,0.453766983580067,3.32002542390049,0.987412384346661,3.37515116966003e-08,1,0.0493188242154011,0,1,NotNormal
football,passes_into_final_third,away,2023/2024+2024/2025,2,1114,0.193319687702709,3.02237924945428,0.996621089430164,0.0167291118474205,1,0.0427865507002272,0,1,NotNormal
football,passes_into_final_third,diff,2023/2024+2024/2025,2,1114,0.213991304676412,3.09551136015828,0.996091453258971,0.00641023764135051,1,0.0395901882640124,0,1,NotNormal
football,successful_passes_into_final_third,home,2023/2024+2024/2025,2,1114,0.926466659371086,4.03621211663641,0.950734790801065,0,1,0.0936819365667295,0,1,NotNormal
football,successful_passes_into_final_third,away,2023/2024+2024/2025,2,1114,0.873294956029371,4.52546497290746,0.960880945141684,1.11022302462516e-16,1,0.0810002208664485,0,1,NotNormal
football,successful_passes_into_final_third,diff,2023/2024+2024/2025,2,1114,0.1612181209852,3.3450346853495,0.995116960558208,0.00117354386778545,1,0.0436602747347042,0,1,NotNormal
football,op_passes_into_final_third,home,2023/2024+2024/2025,2,1114,0.544115666362029,3.42300557030158,0.982388737346175,2.28822405468065e-10,1,0.0602888072701556,0,1,NotNormal
football,op_passes_into_final_third,away,2023/2024+2024/2025,2,1114,0.318115188255028,3.2232200849162,0.992817968924311,3.14031579419227e-05,1,0.0441954245225126,0,1,NotNormal
football,op_passes_into_final_third,diff,2023/2024+2024/2025,2,1114,0.157480330525806,3.10677705363428,0.997437440649073,0.0751183685375724,0,0.0339373089768971,0.003,1,NotNormal
football,successful_op_passes_into_final_third,home,2023/2024+2024/2025,2,1114,0.95901866066699,4.00082688373029,0.944895012326919,0,1,0.110411607118077,0,1,NotNormal
football,successful_op_passes_into_final_third,away,2023/2024+2024/2025,2,1114,0.959045322164477,4.61109372339647,0.952558447663374,0,1,0.0837770694266273,0,1,NotNormal
football,successful_op_passes_into_final_third,diff,2023/2024+2024/2025,2,1114,0.141881651236445,3.33013145991941,0.995867885506905,0.00430620162708084,1,0.0467609499838437,0,1,NotNormal
football,passes_in_final_third,home,2023/2024+2024/2025,2,1114,1.18901541559576,5.46020657908383,0.934003957518463,0,1,0.0856145258771697,0,1,NotNormal
football,passes_in_final_third,away,2023/2024+2024/2025,2,1114,0.91556975151817,4.95652508061018,0.960830218260733,1.11022302462516e-16,1,0.0663740616888003,0,1,NotNormal
