gene_id,correlation,kappa,pef,normal_var,tumor_var,diff_var,var_reduction,mean_normal,mean_early_neoplasia,mean_difference
TMEM132A,0.8256499129928394,2.048443166215792,4.45002502484389,179.12728524793562,366.93206334892056,122.70927591379379,0.7752821625907417,40.183527900952384,58.14701690238096,17.963489001428574
MYLK,0.4830347991796745,0.9697631169728984,1.9341532423806178,138.66301285980103,134.47027555977374,141.21595044009726,0.48297788505673533,47.295736309523804,46.30898498,-0.9867513295238088
COL5A3,0.5635182774930892,1.6519453151926713,2.203733486919302,109.2948948325759,180.54918949314947,131.52410944705997,0.5462246202021711,51.642791497619044,48.88904649571429,-2.753745001904763
TESC,0.39483408288538396,1.9037030409342288,1.600576797557485,134.7576783422525,256.53860204938275,244.47204344631376,0.37522523035069505,33.344920285238096,38.47989227428571,5.134971989047618
VSIG2,0.4978097102713311,2.4687282422694956,1.8214356882889364,60.91953286440602,150.39377128822386,116.01469407417747,0.45098253733053645,23.851087226809526,31.970282900476192,8.119195673666667
AUP1,0.5445894653181336,1.3508230263440797,2.1668054120084674,318.0454877406858,429.6231682649521,345.0557451361563,0.5384910917897909,89.9434612309524,99.64292746285714,9.699466231904761
ROGDI,0.46088849173437246,1.7512195108973114,1.7965406987862507,132.0390694676856,231.2293946525365,202.20441672467956,0.44337470301919496,44.58311373285714,58.285279673333335,13.70216594047619
SCGB2A2,0.6979240065419512,1.137883215650458,3.2945774680089377,764.6934742912274,870.1318695134227,496.2169988956577,0.6964709405955036,48.10878520714285,50.06815459761905,1.9593693904761902
TSPYL2,0.1823313101495413,0.6371002575963276,1.2162418843261247,298.42731322406013,190.12811812882865,401.6926547662676,0.17779513032141336,55.10945142128571,53.373886462857136,-1.7355649584285717
LMAN2,0.6286261095174211,1.3865337853663067,2.6338391752241908,272.5177129013241,377.8550160484413,246.92955252076314,0.6203260968221871,79.1180652838095,87.36992539190476,8.251860108095238
PYCARD,0.48857973658276166,0.9237024283416083,1.9538703038362097,167.8604516480751,155.0531068098461,165.2686761367507,0.4881953024023089,49.62431947428571,49.51287559095238,-0.11144388333333395
TMED3,0.7029718013446453,0.8349439618884845,3.334690044541782,254.47944201815403,212.47607353780842,140.02966072372314,0.7001220543310165,53.27396914380953,56.23059116666666,2.9566220228571423
LOC728264,0.37189365444782846,1.8355179402190342,1.5513068554449625,144.83063129379198,265.83922203300347,264.7250941265277,0.35538220791709885,48.765185949999996,50.53235406142856,1.7671681114285722
BAIAP2,0.4935677390533404,0.9103867127677866,1.9724815782260914,151.6552335844953,138.0649095770195,146.88103876846768,0.49302441602555874,56.35384709285714,61.794319178571435,5.440472085714287
GRASP,0.4819868766361426,0.6225505574113838,1.8824026741393793,191.23416202221443,119.05293416302848,164.8356647852213,0.4687640355923355,47.732957725714286,44.46412615142858,-3.268831574285714
AKR1A1,0.6733273344490979,0.8203867927739547,3.030686897537796,238.57502240600164,195.72379746763406,143.30045780264234,0.670041797847074,55.48340092904761,56.77949804857142,1.2960971195238098
